nom,secteur,ville,code_postal,adresse,siren,siret
FONCIA TRANSACTION FRANCE,Agences immobilières,COURBEVOIE,92400,18-19 - TOUR AURORE 18 PLACE DES REFLETS 92400 COURBEVOIE,503698664,50369866406430
C & M GESTION (CIMM GESTION - GEST'IN),Agences immobilières,MONTBONNOT-SAINT-MARTIN,38330,55 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,490072337,49007233700929
ESPACES ATYPIQUES,Agences immobilières,PARIS,75011,1 B AVENUE DE LA REPUBLIQUE 75011 PARIS,791648132,79164813200060
ABITHEA DEVELOPPEMENT (ABITHEA FRANCE) (IMB),Agences immobilières,MARSEILLE,13008,6 BOULEVARD EDOUARD HERRIOT 13008 MARSEILLE,350378642,35037864200556
JCM (CIMM IMMOBILIER - IMMOLIAISON),Agences immobilières,MONTBONNOT-SAINT-MARTIN,38330,55 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,408344752,40834475202127
HUMAN IMMOBILIER (HUMAN IMMOBILIER - REGARD NEUF),Agences immobilières,BORDEAUX,33100,28 AVENUE THIERS 33100 BORDEAUX,414854216,41485421600010
FONCIA TRANSACTION FRANCE,Agences immobilières,COURBEVOIE,92400,18-19 - TOUR AURORE 18 PLACE DES REFLETS 92400 COURBEVOIE,503698664,50369866406430
C & M GESTION (CIMM GESTION - GEST'IN),Agences immobilières,MONTBONNOT-SAINT-MARTIN,38330,55 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,490072337,49007233700929
ESPACES ATYPIQUES,Agences immobilières,PARIS,75011,1 B AVENUE DE LA REPUBLIQUE 75011 PARIS,791648132,79164813200060
ABITHEA DEVELOPPEMENT (ABITHEA FRANCE) (IMB),Agences immobilières,MARSEILLE,13008,6 BOULEVARD EDOUARD HERRIOT 13008 MARSEILLE,350378642,35037864200556
FONCIA TRANSACTION FRANCE,Agences immobilières,COURBEVOIE,92400,18-19 - TOUR AURORE 18 PLACE DES REFLETS 92400 COURBEVOIE,503698664,50369866406430
C & M GESTION (CIMM GESTION - GEST'IN),Agences immobilières,MONTBONNOT-SAINT-MARTIN,38330,55 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,490072337,49007233700929
JCM (CIMM IMMOBILIER - IMMOLIAISON),Agences immobilières,MONTBONNOT-SAINT-MARTIN,38330,55 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,408344752,40834475202127
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),Agences immobilières,BOULOGNE-BILLANCOURT,92100,50 COURS DE L'ILE SEGUIN 92100 BOULOGNE-BILLANCOURT,329570857,32957085700865
ESPACE EXPANSION,Agences immobilières,PARIS,75016,7 PLACE DU CHANCELIER ADENAUER 75016 PARIS,323998690,32399869000461
FONCIA TRANSACTION FRANCE,Agences immobilières,COURBEVOIE,92400,18-19 - TOUR AURORE 18 PLACE DES REFLETS 92400 COURBEVOIE,503698664,50369866406430
C & M GESTION (CIMM GESTION - GEST'IN),Agences immobilières,MONTBONNOT-SAINT-MARTIN,38330,55 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,490072337,49007233700929
ESPACES ATYPIQUES,Agences immobilières,PARIS,75011,1 B AVENUE DE LA REPUBLIQUE 75011 PARIS,791648132,79164813200060
ABITHEA DEVELOPPEMENT (ABITHEA FRANCE) (IMB),Agences immobilières,MARSEILLE,13008,6 BOULEVARD EDOUARD HERRIOT 13008 MARSEILLE,350378642,35037864200556
JCM (CIMM IMMOBILIER - IMMOLIAISON),Agences immobilières,MONTBONNOT-SAINT-MARTIN,38330,55 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,408344752,40834475202127
SOC FIDUCIAIRE NATIO EXPERTISE COMPTABLE (FIDUCIAL EXPERTISE ; JADE FIDUCIAL) (FID),Cabinets comptables,COURBEVOIE,92400,41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE,552108722,55210872210462
RYDGE CONSEIL,Cabinets comptables,COURBEVOIE,92400,TOUR EQHO 2 AVENUE GAMBETTA 92400 COURBEVOIE,903309490,90330949000014
FITECO (FITECO),Cabinets comptables,CHANGE,53810,PARC TECHNOPOLE RUE ALBERT EINSTEIN 53810 CHANGE,557150067,55715006700972
TGS FRANCE EXPERTISE COMPTABLE PAIE RH (TGS FRANCE) (TGS FRANCE ECPRH),Cabinets comptables,BEAUCOUZE,49070,PARC ACTIVITE ANGERS BEAUCOUZE 1 RUE DU TERTRE 49070 BEAUCOUZE,069200210,06920021001634
COGEP,Cabinets comptables,SAINT-DOULCHARD,18230,2658 ROUTE D'ORLEANS 18230 SAINT-DOULCHARD,400833596,40083359600010
SOC FIDUCIAIRE NATIO EXPERTISE COMPTABLE (FIDUCIAL EXPERTISE ; JADE FIDUCIAL) (FID),Cabinets comptables,COURBEVOIE,92400,41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE,552108722,55210872210462
RYDGE CONSEIL,Cabinets comptables,COURBEVOIE,92400,TOUR EQHO 2 AVENUE GAMBETTA 92400 COURBEVOIE,903309490,90330949000014
